2021-02-18 09:32:06.9229|TRACE|WebApplication.Controllers.AccountController|Login attempted for : 123456
2021-02-18 09:32:10.9748|TRACE|WebApplication.Controllers.AdminController|UnitSelection :: started.
2021-02-18 09:32:11.5069|TRACE|WebApplication.Controllers.AdminController|UnitSelection :: ended.
2021-02-18 09:32:20.8661|TRACE|WebApplication.Controllers.AdminController|Dashboard :: started.
2021-02-18 09:32:21.1236|TRACE|WebApplication.Controllers.AdminController|GetDashboardId :: started
2021-02-18 09:32:21.1933|TRACE|WebApplication.Controllers.AdminController|GetDashboardId :: ended
2021-02-18 09:32:47.8804|TRACE|WebApplication.Controllers.AdminController|UnitSelection :: started.
2021-02-18 09:32:47.8864|TRACE|WebApplication.Controllers.AdminController|UnitSelection :: ended.
2021-02-18 09:32:49.6689|TRACE|WebApplication.Controllers.AdminController|Dashboard :: started.
2021-02-18 09:32:49.6848|TRACE|WebApplication.Controllers.AdminController|GetDashboardId :: started
2021-02-18 09:32:49.6848|TRACE|WebApplication.Controllers.AdminController|GetDashboardId :: ended
2021-02-18 09:33:06.1267|TRACE|WebApplication.Controllers.MopController|Index :: started.
2021-02-18 09:33:06.1556|TRACE|WebApplication.Controllers.MopController|Index :: ended.
2021-02-18 09:33:11.6949|TRACE|WebApplication.Controllers.MopController|GetSiteConfig :: started.
2021-02-18 09:33:11.7447|TRACE|WebApplication.Controllers.MopController|GetSiteConfig :: ended.
2021-02-18 09:33:17.1393|TRACE|WebApplication.Controllers.MopController|GetMOPData :: started.
2021-02-18 09:33:17.1393|TRACE|WebApplication.Controllers.MopController|GetMOPData :: ended.
2021-02-18 09:33:20.0876|TRACE|WebApplication.Controllers.MopController|GetMOPData :: started.
2021-02-18 09:33:20.1434|TRACE|WebApplication.Controllers.MopController|GetMOPData :: ended.
2021-02-18 09:33:34.2952|TRACE|WebApplication.Controllers.MopController|GetMOPData :: started.
2021-02-18 09:33:34.2952|TRACE|WebApplication.Controllers.MopController|GetMOPData :: ended.
2021-02-18 09:33:36.2998|TRACE|WebApplication.Controllers.MopController|GetMOPData :: started.
2021-02-18 09:33:36.2998|TRACE|WebApplication.Controllers.MopController|GetMOPData :: ended.
2021-02-18 09:33:37.0711|TRACE|WebApplication.Controllers.MopController|GetMOPData :: started.
2021-02-18 09:33:37.0751|TRACE|WebApplication.Controllers.MopController|GetMOPData :: ended.
